epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.7813,1.57695,2.00464,0.00359,0.77881,0.44948,0.49494,0.33463,1.23919,1.00033,0.00239,0.000473375,0.000473375,0.000473375
2,138.412,1.4537,0.96176,0.00321,0.83525,0.50738,0.60316,0.41649,1.18128,0.7634,0.0023,0.000930904,0.000930904,0.000930904
3,206.997,1.43285,0.83031,0.00309,0.87625,0.53086,0.59774,0.39883,1.24037,0.68136,0.00253,0.00136957,0.00136957,0.00136957
4,275.389,1.49931,0.77654,0.0032,0.50405,0.56666,0.58962,0.40965,1.2586,0.64549,0.00251,0.00134412,0.00134412,0.00134412
5,343.759,1.40874,0.74584,0.0031,0.56324,0.52901,0.60583,0.43276,1.11628,0.57131,0.00228,0.00131582,0.00131582,0.00131582
6,412.026,1.34939,0.69371,0.00295,0.5341,0.61727,0.63521,0.45335,1.13728,0.56498,0.00226,0.00128753,0.00128753,0.00128753
7,480.353,1.40323,0.69216,0.00298,0.91218,0.52189,0.63716,0.45638,1.1283,0.55026,0.00218,0.00125923,0.00125923,0.00125923
8,548.887,1.34004,0.66335,0.00292,0.56701,0.64331,0.64299,0.46292,1.10867,0.5395,0.00213,0.00123094,0.00123094,0.00123094
9,617.234,1.31473,0.6439,0.00283,0.65408,0.67977,0.66572,0.47801,1.09028,0.52056,0.00205,0.00120265,0.00120265,0.00120265
10,685.501,1.29193,0.62866,0.00279,0.64306,0.77651,0.74976,0.54051,1.11595,0.51909,0.00215,0.00117435,0.00117435,0.00117435
11,751.729,1.29955,0.63392,0.00281,0.68874,0.70273,0.73376,0.54802,1.10266,0.53989,0.0021,0.00114606,0.00114606,0.00114606
12,819.59,1.28129,0.61374,0.00267,0.69464,0.78033,0.75624,0.56412,1.08485,0.50716,0.00202,0.00111776,0.00111776,0.00111776
13,887.47,1.26267,0.61112,0.00268,0.72452,0.69917,0.72001,0.5267,1.10659,0.52556,0.00198,0.00108947,0.00108947,0.00108947
14,955.245,1.26309,0.59919,0.00269,0.69579,0.69716,0.74028,0.54291,1.07765,0.50444,0.00203,0.00106118,0.00106118,0.00106118
15,1023.04,1.25506,0.60198,0.00267,0.68939,0.76159,0.76481,0.57171,1.07283,0.50702,0.00206,0.00103288,0.00103288,0.00103288
16,1090.92,1.24253,0.58642,0.00257,0.69086,0.78808,0.75731,0.57317,1.05221,0.5032,0.00194,0.00100459,0.00100459,0.00100459
17,1158.64,1.23212,0.57333,0.00255,0.80112,0.66606,0.7591,0.56691,1.05805,0.493,0.00197,0.000976293,0.000976293,0.000976293
18,1226.41,1.24642,0.59306,0.00258,0.83256,0.64205,0.7357,0.5496,1.063,0.49678,0.00193,0.000947999,0.000947999,0.000947999
19,1294.18,1.21175,0.56791,0.00253,0.78234,0.70898,0.77903,0.58419,1.06045,0.49544,0.00205,0.000919704,0.000919704,0.000919704
20,1361.92,1.21451,0.55858,0.00249,0.77524,0.69928,0.76776,0.57189,1.04524,0.50104,0.00193,0.00089141,0.00089141,0.00089141
21,1429.54,1.21764,0.55615,0.00241,0.62493,0.76171,0.74968,0.55222,1.05844,0.49826,0.00203,0.000863116,0.000863116,0.000863116
22,1497.18,1.21025,0.55888,0.00249,0.75729,0.71892,0.77018,0.5748,1.05349,0.47657,0.00193,0.000834822,0.000834822,0.000834822
