epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.706,0.70649,1.78718,0.00144,0.53764,0.7097,0.64914,0.59342,0.45097,0.73484,0.00149,0.000415392,0.000415392,0.000415392
2,261.471,0.67249,0.7369,0.00137,0.72468,0.6781,0.74783,0.68011,0.45726,0.61492,0.00146,0.000790872,0.000790872,0.000790872
3,391.262,0.67657,0.67325,0.00143,0.63417,0.74472,0.73399,0.65637,0.48562,0.57722,0.00168,0.0011251,0.0011251,0.0011251
4,520.66,0.66663,0.64309,0.0014,0.6484,0.76416,0.77796,0.70106,0.46837,0.56776,0.00158,0.00106437,0.00106437,0.00106437
5,650.539,0.64679,0.61551,0.00138,0.65976,0.73986,0.75973,0.68828,0.44948,0.52606,0.00145,0.0010025,0.0010025,0.0010025
6,780.369,0.63156,0.5969,0.00132,0.70861,0.72386,0.77812,0.70285,0.46236,0.53057,0.00149,0.000940625,0.000940625,0.000940625
7,911.092,0.60892,0.58428,0.00128,0.72634,0.74253,0.79922,0.72561,0.44213,0.50959,0.00143,0.00087875,0.00087875,0.00087875
8,1041.95,0.60309,0.57035,0.00123,0.78884,0.71619,0.8032,0.73435,0.44679,0.53136,0.00146,0.000816875,0.000816875,0.000816875
9,1171.93,0.60084,0.54627,0.00121,0.74883,0.71081,0.77842,0.71548,0.43486,0.50607,0.00135,0.000755,0.000755,0.000755
10,1301.07,0.59294,0.53057,0.0012,0.743,0.76487,0.80857,0.72904,0.45616,0.48851,0.00149,0.000693125,0.000693125,0.000693125
11,1429.49,0.55419,0.52976,0.00125,0.68882,0.72934,0.77746,0.71077,0.43907,0.48607,0.00139,0.00063125,0.00063125,0.00063125
12,1557.24,0.5322,0.51212,0.00119,0.68961,0.75714,0.76746,0.70472,0.41977,0.49001,0.00133,0.000569375,0.000569375,0.000569375
13,1685.38,0.5334,0.50266,0.00118,0.75076,0.75476,0.81206,0.74468,0.4398,0.47983,0.00137,0.0005075,0.0005075,0.0005075
14,1813.43,0.51243,0.49423,0.00111,0.79,0.73777,0.80824,0.74864,0.41201,0.4827,0.00128,0.000445625,0.000445625,0.000445625
15,1941.85,0.51564,0.48702,0.00112,0.74147,0.77101,0.77953,0.72784,0.40418,0.48096,0.00127,0.00038375,0.00038375,0.00038375
16,2069.73,0.50494,0.47411,0.00109,0.77952,0.73408,0.79962,0.74699,0.41821,0.46589,0.00127,0.000321875,0.000321875,0.000321875
17,2197.45,0.48717,0.46258,0.00105,0.71147,0.7628,0.79887,0.75109,0.38334,0.46393,0.00115,0.00026,0.00026,0.00026
18,2325.28,0.48358,0.45174,0.00101,0.79335,0.72989,0.80169,0.75712,0.3904,0.4662,0.00115,0.000198125,0.000198125,0.000198125
19,2452.84,0.47131,0.43967,0.001,0.81,0.70103,0.79812,0.75412,0.39085,0.46456,0.00115,0.00013625,0.00013625,0.00013625
20,2580.48,0.47174,0.43997,0.00098,0.82279,0.71324,0.80516,0.76146,0.37456,0.45602,0.00109,7.4375e-05,7.4375e-05,7.4375e-05
